Date,Equity,Cumulative PnL,Cumulative PnL%,Daily PnL
2025-04-07,37519.6532495544,7267.538247172501,0,7267.538247172501
2025-04-08,38370.9893198081,8118.874317426196,2.269040346911533,851.3360702536957
2025-04-09,37618.935300043195,7366.820297661294,0.26461345425672356,-752.0540197649025
2025-04-10,41461.852116144,11209.7371137621,10.507023719992459,3842.9168161008056
2025-04-11,47061.9446294773,16812.0791978647,25.432781365153545,5602.3420841026
2025-04-12,48089.2821154185,17839.4166838059,28.170912976093753,1027.3374859411997
2025-04-13,48633.0760864494,18383.210654836792,29.620270643164815,543.7939710308929
2025-04-14,49972.8772779448,19723.01184633219,33.191202342836945,1339.8011914953968
2025-04-15,49307.2122177,19057.34678608739,31.41702533800892,-665.665060244799
2025-04-16,47270.858969980705,17020.993538368097,25.989594454853115,-2036.353247719293
2025-04-17,50222.5063211664,19972.640889553786,33.856531101504416,2951.6473511856893
2025-04-18,49983.003390616504,19733.13795900389,33.2181911654797,-239.50293054989743
2025-04-19,49636.024712270104,19386.159280657495,32.29339936093254,-346.9786783463933
2025-04-20,49679.2591865289,19429.393754916284,32.408630900976966,43.234474258788396
2025-04-21,50537.0138166321,20287.14838501948,34.694778441835126,857.754630103198
2025-04-22,51615.3618723837,21365.496440771083,37.56886698572222,1078.3480557516014
2025-04-23,56048.0292529686,25798.16382135598,49.383121640747696,4432.667380584899
2025-04-24,55310.6865976408,25985.830752546586,47.41790450394872,187.6669311906029
2025-04-25,55205.5751450238,26791.785217569988,47.13775412004759,805.9544650234018
2025-04-26,51972.695208000005,23558.90528054619,38.52125674593556,-3232.8799370237975
2025-04-27,52892.9544094848,24479.16448203099,40.97399583540388,920.2592014847978
2025-04-28,53867.4813558264,25453.691428372586,43.57137310821537,974.5269463415971
2025-04-29,54009.0948412151,25595.304913761283,43.94881125895409,141.61348538869788
2025-04-30,53476.872237572,25063.08231011819,42.5302944083235,-532.2226036430948
2025-05-01,53653.3652113788,25239.575283924984,43.00069580737931,176.4929738067949
2025-05-02,50856.7703026936,22442.980375239786,35.54701575846146,-2796.594908685198
2025-05-03,54487.7239977525,26073.93407029868,45.22448711169691,3630.9536950588954
2025-05-04,55618.309204368,27204.51927691418,48.23780175801211,1130.5852066154985
2025-05-05,58662.6804299175,30248.890502463677,56.351872549926085,3044.3712255494975
2025-05-06,56511.4742513,28097.68432384618,50.61832761466461,-2151.2061786174963
2025-05-07,58502.544009255,30088.754081801177,55.92506577855914,1991.069757954996
2025-05-08,64436.15815694401,36022.36822949019,71.73974857485999,5933.614147689012
2025-05-09,73106.3135371262,44692.523609672375,94.84805216848437,8670.155380182186
2025-05-10,73357.7898317152,44943.99990426137,95.51830435049777,251.4762945889961
2025-05-11,80465.879774826,52052.08984737217,114.46328205546953,7108.089943110797
2025-05-12,81345.28267705652,52931.49274960269,116.8071280829937,879.4029022305185
2025-05-13,79823.5282985735,51409.73837111967,112.75124204278595,-1521.7543784830195
2025-05-14,84576.0309882744,56162.24106082059,125.41794409914719,4752.502689700923
2025-05-15,81881.1361031328,53467.346175678984,118.23532205512919,-2694.894885141606
2025-05-16,85072.53266251899,56658.74273506518,126.74125503419825,3191.396559386194
2025-05-17,81521.545751646,53107.75582419219,117.2769167386007,-3550.986910872991
2025-05-18,81588.4691523306,53174.67922487677,117.45528565965513,66.92340068457997
2025-05-19,79565.3033628932,51151.513435439374,112.06300291124931,-2023.165789437393
2025-05-20,81282.38144127681,52868.59151382298,116.63947931672891,1717.078078383609
2025-05-21,83128.0501532184,54714.26022576457,121.55868445880604,1845.6687119415874
2025-05-22,84720.32991935078,56306.539991896956,125.80253968726898,1592.2797661323857
2025-05-23,84624.09030414041,56210.30037668658,125.54603514398268,-96.23961521037563
2025-05-24,85243.53169180709,56829.74176435326,127.19701358865696,619.4413876666804
2025-05-25,81749.35283746201,53335.56291000818,117.88408409246931,-3494.178854345082
2025-05-26,84621.50954500752,57865.67819484789,125.53915672451615,4530.1152848397105
2025-05-27,86523.9189249897,59793.09405968757,130.60959105750078,1927.4158648396858
2025-05-28,88627.4198342225,61896.59496892037,136.21598857733335,2103.5009092327964
2025-05-29,92325.846277673,66119.86148261507,146.07329301149522,4223.266513694702
2025-05-30,87330.4579661022,61349.42501853237,132.75923523397535,-4770.436464082702
2025-05-31,87293.7726551792,61312.73970760937,132.66145898140977,-36.68531092299963
2025-06-01,88333.4869854192,62352.45403784936,135.4325782221036,1039.7143302399927
2025-06-02,89475.32407590181,63494.29112833198,138.47588217506905,1141.8370904826152
2025-06-03,94756.3820286822,68775.34908111236,152.5513266298845,5281.057952780393
2025-06-04,98407.62658374199,72426.59363617215,162.2828786001926,3651.2445550597913
2025-06-05,93393.16637734721,68012.03158075787,148.91798907671512,-4414.562055414282
