Date,Daily Funding Fees,Cumulative Funding Fees
2025-08-11,-0.43572585,-8.971320170000004
2025-08-12,-0.28801814,-9.259338310000004
2025-08-13,-0.43947467,-9.698812980000003
2025-08-14,-0.63760613,-10.336419110000003
2025-08-15,-0.36877875,-10.705197860000004
2025-08-16,0.22848476,-10.476713100000003
2025-08-17,0.35388295,-10.122830150000004
2025-08-18,0.10099564,-10.021834510000003
2025-08-19,0.24130475,-9.780529760000004
2025-08-20,-0.03102061,-9.811550370000004
2025-08-21,-0.39829121,-10.209841580000004
2025-08-22,-0.74180975,-10.951651330000004
2025-08-23,-1.32502466,-12.276675990000005
2025-08-24,-1.08402219,-13.360698180000005
2025-08-25,-0.63973027,-14.000428450000005
2025-08-26,-0.3761209,-14.376549350000005
2025-08-27,-0.01804428,-14.394593630000005
2025-08-28,0.32093353,-14.073660100000005
2025-08-29,0.83049503,-13.243165070000005
2025-08-30,0.89301903,-12.350146040000006
2025-08-31,0.29426901,-12.055877030000005
2025-09-01,0.24515876,-11.810718270000004
2025-09-02,-0.04527452,-11.855992790000004
2025-09-03,0.00627396,-11.849718830000004
2025-09-04,0.00877751,-11.840941320000004
2025-09-05,0.45371936,-11.387221960000005
2025-09-06,0.24062605,-11.146595910000006
2025-09-07,0.11784128,-11.028754630000005
2025-09-08,0.0000937,-11.028660930000004
2025-09-09,0.03398897,-10.994671960000005
2025-09-10,-0.04431007,-11.038982030000005
2025-09-11,-0.02866616,-11.067648190000005
2025-09-12,-0.12239764,-11.190045830000006
2025-09-13,-0.0305894,-11.220635230000006
2025-09-14,-0.32659679,-11.547232020000006
2025-09-15,-0.33616806,-11.883400080000007
2025-09-16,-0.16504773,-12.048447810000006
2025-09-17,0.22056883,-11.827878980000007
2025-09-18,0.13416007,-11.693718910000007
2025-09-19,-0.11364872,-11.807367630000007
2025-09-20,0.45597825,-11.351389380000008
2025-09-21,0.23437109,-11.117018290000008
2025-09-22,0.93633627,-10.180682020000008
2025-09-23,0.25553862,-9.925143400000008
2025-09-24,0.0152958,-9.909847600000008
2025-09-25,0.33273817,-9.577109430000007
2025-09-26,1.26059319,-8.316516240000007
2025-09-27,-0.51700865,-8.833524890000007
2025-09-28,-0.04564538,-8.879170270000007
2025-09-29,-0.36762107,-9.246791340000007
2025-09-30,-0.09637767,-9.343169010000008
2025-10-01,-0.29958041,-9.642749420000008
2025-10-02,-0.7302548,-10.37300422000001
2025-10-03,-0.76568695,-11.138691170000008
2025-10-04,-0.01126396,-11.14995513000001
2025-10-05,-0.45086248,-11.600817610000009
2025-10-06,-1.44705916,-13.04787677000001
2025-10-07,-0.33296016,-13.38083693000001
2025-10-08,-0.31138567,-13.69222260000001
2025-10-09,-0.13766022,-13.82988282000001
2025-10-10,0.18947817,-13.640404650000011
2025-10-11,2.29103529,-11.349369360000011
2025-10-12,0.23646796,-11.11290140000001
2025-10-13,0.11561541,-10.99728599000001
2025-10-14,0.19248672,-10.80479927000001
2025-10-15,-0.1746601,-10.979459370000011
2025-10-16,-0.09343193,-11.07289130000001
2025-10-17,-0.30155713,-11.374448430000012
2025-10-18,-0.1646035,-11.539051930000012
2025-10-19,-0.08953864,-11.628590570000013
2025-10-20,-0.06284212,-11.691432690000013
2025-10-21,0,-11.691432690000013
